Year,Year ending,Offence Division,Offence Subdivision,Offence Subgroup,Incidents Recorded,"Rate per 100,000 population"
2019,December,A Crimes against the person,A10 Homicide and related offences,A11 Murder, 56 , 0.8 
2019,December,A Crimes against the person,A10 Homicide and related offences,A12 Attempted murder, 27 , 0.4 
2019,December,A Crimes against the person,A10 Homicide and related offences,A14 Manslaughter & A13  Accessory/ conspiracy to murder, 20 , 0.3 
2019,December,A Crimes against the person,A10 Homicide and related offences,A15 Driving causing death, 92 , 1.4 
2019,December,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault," 7,791 ", 118.1 
2019,December,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault," 8,510 ", 129.0 
2019,December,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer"," 1,946 ", 29.5 
2019,December,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault," 13,367 ", 202.7 
2019,December,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault," 10,035 ", 152.1 
2019,December,A Crimes against the person,A30 Sexual offences,A31 Rape," 3,245 ", 49.2 
2019,December,A Crimes against the person,A30 Sexual offences,A32 Indecent assault," 3,698 ", 56.1 
2019,December,A Crimes against the person,A30 Sexual offences,A33 Incest, 229 , 3.5 
2019,December,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children, 742 , 11.2 
2019,December,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences, 467 , 7.1 
2019,December,A Crimes against the person,A40 Abduction and related offences,A41 Abduction, 133 , 2.0 
2019,December,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment, 309 , 4.7 
2019,December,A Crimes against the person,A40 Abduction and related offences,A43 Slavery and sexual servitude offences, 2 , 0.0 
2019,December,A Crimes against the person,A50 Robbery,A51 Aggravated robbery," 2,812 ", 42.6 
2019,December,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery, 408 , 6.2 
